#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
          32       0.0000000039129703   3.6585651400271077e-33   5.4698221173147136e-33   1.3507199454926228e-24   3.7184765473091101e-23   6.9659395605821113e-33   4.6826967074409249e-24   2.9666096332805821e-25   2.7620056862388342e-25   8.1301267715354152e-24   2.2916460405875595e-24   3.8966775574693709e-25   1.0733333745719675e-25   1.0526708782521548e-27   5.7073542736253726e-28   3.6258947342751177e-28   2.3146911516896684e-28   4.5744993133951986e-33   6.6331230458801865e-31   9.2360398584733409e-30
          33       0.0000000041605847   3.6548237193608598e-33   5.4708709889411426e-33   1.3656928383618151e-24   3.7099748596391970e-23   6.7331406435924602e-33   4.6122117179261864e-24   3.3606491680200833e-25   2.8278751777922212e-25   8.1744798033573906e-24   2.3341558474397968e-24   4.0323423953641424e-25   1.1269858984499335e-25   1.1216895361053305e-27   6.1421135191701845e-28   3.9992575436233295e-28   2.8342832753418496e-28   4.6815972680387540e-33   9.0224313229056393e-31   1.1399385916385770e-29
          34       0.0000000044205799   3.6507987147367691e-33   5.4719725408404947e-33   1.3800133607742195e-24   3.7005785035136223e-23   6.5086758017900011e-33   4.5441526857883601e-24   3.6857433978633349e-25   2.9615034455380076e-25   8.2240489464474894e-24   2.3782056901306518e-24   4.1752516520012516e-25   1.1843195530898706e-25   1.1956625408198036e-27   6.6027844301728248e-28   4.3820337859062252e-28   3.4259067887509431e-28   4.7949974709578121e-33   1.2044112316533841e-30   1.3892752168826036e-29
          35       0.0000000046935747   3.6464877153376309e-33   5.4731294040656278e-33   1.3937358587010652e-24   3.6903183187410126e-23   6.2934110557716316e-33   4.4808610684519461e-24   3.9206347527723103e-25   3.1237706362169508e-25   8.2812570495955331e-24   2.4245786979570496e-24   4.3261807079586361e-25   1.2460993214101365e-25   1.2753061760721374e-27   7.0958397560319358e-28   4.7772044844021873e-28   4.0943403325489854e-28   4.9153014889740000e-33   1.5802802612630955e-30   1.6744300943274496e-29
          36       0.0000000049802194   3.6418265995436924e-33   5.4743443519847481e-33   1.4067652323857976e-24   3.6793099822758124e-23   6.0885178941878090e-33   4.4236584036330238e-24   4.0493783068893131e-25   3.2911853652567868e-25   8.3468250857662243e-24   2.4739595109933419e-24   4.4861936891367488e-25   1.3130857163417340e-25   1.3613810815792515e-27   7.6283806310529348e-28   5.1887566224524138e-28   4.8447912358522819e-28   5.0450855538771062e-33   2.0405852229374547e-30   1.9984053645563206e-29
          37       0.0000000052811962   3.6368443568884867e-33   5.4756203070299703e-33   1.4178787450729236e-24   3.6682153353451786e-23   5.8949379400035211e-33   4.3729773687113512e-24   4.0197967652714564e-25   3.4436174055337044e-25   8.4214099695015393e-24   2.5269350051011183e-24   4.6563871145449126e-25   1.3860569533238311e-25   1.4547014424803921e-27   8.2082585587492164e-28   5.6216763229183535e-28   5.6830912689492817e-28   5.1882484113192988e-33   2.5959654099401357e-30   2.3644248718045420e-29
          38       0.0000000055972219   3.6315371882055803e-33   5.4769603710752202e-33   1.4256888537865012e-24   3.6581796263569258e-23   5.7149371937094940e-33   4.3285339767122948e-24   3.7781694749152650e-25   3.5366840403100895e-25   8.5044496967065542e-24   2.5839648707023842e-24   4.8376045178900866e-25   1.4657879885067143e-25   1.5560953364937842e-27   8.8441738187910969e-28   6.0820141352712685e-28   6.6159143176486430e-28   5.3487976734203742e-33   3.2565364169904308e-30   2.7759719850894197e-29
          39       0.0000000059290489   3.6259437395062642e-33   5.4783678663458508e-33   1.4310703314595408e-24   3.6495577017118728e-23   5.5504512444552790e-33   4.2887431057467690e-24   3.3825403641848301e-25   3.5297525259080571e-25   8.5912443478564905e-24   2.6450829831945085e-24   5.0303113919826410e-25   1.5529966983951553e-25   1.6663732899536485e-27   9.5455956279731709e-28   6.5769823392398307e-28   7.6510047933261849e-28   5.5311823016253588e-33   4.0314176720267633e-30   3.2368269477001667e-29
          40       0.0000000062756745   3.6200323125453904e-33   5.4798387167214616e-33   1.4358273983939402e-24   3.6418665184597954e-23   5.4031457781394728e-33   4.2509811401550755e-24   2.9563034481340717e-25   3.4315819682977208e-25   8.6750943452330805e-24   2.7094704979309295e-24   5.2334376680866478e-25   1.6478028225095192e-25   1.7856208825378566e-27   1.0318454767944134e-27   7.1122374423135509e-28   8.7913490800818730e-28   5.7402886545316546e-33   4.9234076302991834e-30   3.7483756733629809e-29
          41       0.0000000066203328   3.6140820496855069e-33   5.4813019068211144e-33   1.4405087051202739e-24   3.6349018076699247e-23   5.2778976511253386e-33   4.2147337840995536e-24   2.5913448306260434e-25   3.2870236258327392e-25   8.7489227269519457e-24   2.7732959274994876e-24   5.4364187412211209e-25   1.7456074192813227e-25   1.9080702430728348e-27   1.1129922921744818e-27   7.6681538865224992e-28   9.9839997637225889e-28   5.9704249820583752e-33   5.8858077027813795e-30   4.2863381500598367e-29
