                     time                     mass                     xmom                     ymom                     zmom                ang mom x                ang mom y                ang mom z                    rho_K                    rho_e                    rho_E
    9.732023909802332e-09        109324969313.8358   -9.847350744531397e+18       -13.53976799501106                        0                        0                        0    1.574669137477565e+20    4.876634144823781e+27     3.69106362395182e+28    4.178727038434245e+28
    1.019356973490449e-08        109367446299.2117   -9.773516663481205e+18       -12.78920544334687                        0                        0                        0    1.562734120033475e+20    4.899051440451996e+27    3.697599706973059e+28    4.187504851018213e+28
    1.065453678176937e-08        109409870018.4687    -9.69936379589283e+18       -28.27618479577359                        0                        0                        0    1.550764022477765e+20    4.922232743433622e+27    3.703788665347385e+28    4.196011939690733e+28
    1.111500158896664e-08        109452247515.6046   -9.624901376296661e+18        16.78799716348294                        0                        0                        0    1.538762553890891e+20    4.945700244464904e+27    3.709783243398628e+28    4.204353267845137e+28
    1.157506402819044e-08        109494587982.0113    -9.55012007870021e+18         13.4035788847832                        0                        0                        0    1.526730648440547e+20    4.968233352519645e+27    3.715836367824178e+28    4.212659703076131e+28
    1.203456827391279e-08        109536877076.7537    -9.47505278769503e+18        8.815209562599193                        0                        0                        0    1.514676231909372e+20    4.991032838710852e+27    3.721994573872238e+28      4.2210978577433e+28
    1.249375281374609e-08        109579136748.3235   -9.399671399618922e+18        30.11950746574439                        0                        0                        0    1.502598046253812e+20    5.014741772438985e+27     3.72842181567421e+28    4.229895992918158e+28
    1.294758957716178e-08        109620904253.3343   -9.324815813714784e+18        22.22072914952878                        0                        0                        0    1.490633812801177e+20    5.037976409326366e+27    3.735426529417046e+28    4.239224170349682e+28
    1.339425066230182e-08        109662011366.3219   -9.250810490363996e+18        1.951238040695898                        0                        0                        0    1.478838326249981e+20    5.060466645372007e+27    3.743236399314156e+28     4.24928306385132e+28
    1.383371571315988e-08        109702456213.8825   -9.177683132482658e+18        18.16096897580428                        0                        0                        0    1.467219419732139e+20    5.083280777244684e+27    3.751888457194374e+28    4.260216534918828e+28
    1.426563060582864e-08        109742206205.2845   -9.105516309354633e+18      -0.3205351199721918                        0                        0                        0    1.455795109651554e+20    5.105645580013691e+27    3.761501090298625e+28    4.272065648300008e+28
    1.469072811942456e-08        109781328779.6557   -9.034209881323182e+18        59.97672937763855                        0                        0                        0    1.444556527004176e+20    5.128259040043499e+27    3.772040534566584e+28    4.284866438570927e+28
    1.510826253171497e-08        109819755306.6877   -8.963910543243521e+18         3.55964258662425                        0                        0                        0     1.43353493044068e+20    5.150213576039658e+27    3.783583824690558e+28    4.298605182294503e+28
     1.55187945502481e-08        109857537389.4174   -8.894544783092012e+18        87.20144497742876                        0                        0                        0    1.422727078306994e+20    5.172721500558185e+27    3.796042654511642e+28    4.313314804567501e+28
    1.592245479849556e-08         109894687049.384   -8.826109683793371e+18        -108.107413510792                        0                        0                        0    1.412139486146176e+20    5.194552099471314e+27    3.809562247368411e+28     4.32901745731558e+28
    1.631920062029883e-08        109931200360.8564   -8.758630768639633e+18       -198.3301038844511                        0                        0                        0     1.40178142504905e+20    5.216943011566876e+27    3.824034773761274e+28    4.345729074917946e+28
    1.670902280361993e-08        109967076476.0316   -8.692127199912067e+18       -36.12353298347443                        0                        0                        0    1.391657119312391e+20    5.239023641475744e+27    3.839562664439303e+28    4.363465028586842e+28
