# Analytic Sedov solution at t = 0.01 for a spherical geometry with
# gamma = 1.4.  This was created using Frank Timmes' sedov3.f routine
# from http://www.cococubed.com/code_pages/sedov.shtml
#
# The following parameters were set:
#      nstep = 512
#      eblast = 1.0
#      xgeom  = 3.0q0
#      omega  = 0.0q0
#      outfile = 'spherical_sedov.dat'
#
#      time   = 0.01q0
#      rho0   = 1.0q0
#      vel0   = 0.0q0
#      ener0  = 0.0q0
#      pres0  = 0.0q0
#      cs0    = 0.0q0
#      gamma  = 1.4q0
#   i   x             den           ener          pres          vel           cs
  174  4.066406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  175  4.089844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  176  4.113281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  177  4.136719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  178  4.160156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  179  4.183594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  180  4.207031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  181  4.230469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  182  4.253906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  183  4.277344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  184  4.300781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  185  4.324219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  186  4.347656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  187  4.371094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  188  4.394531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  189  4.417969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  190  4.441406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  191  4.464844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  192  4.488281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  193  4.511719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  194  4.535156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  195  4.558594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  196  4.582031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  197  4.605469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  198  4.628906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  199  4.652344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  200  4.675781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  201  4.699219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  202  4.722656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  203  4.746094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  204  4.769531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  205  4.792969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
